Concept,AgreementRate
Wire,0.8261
Dog,0.8148
Mouse,0.8148
Cat,0.8148
Monitor,0.8148
Keyboard,0.8148
Saxophone,0.7826
Printer,0.7778
Eagle,0.7407
Penguin,0.7407
Ostrich,0.7407
Trombone,0.7391
Clarinet,0.7391
Rake,0.7391
Bell,0.7391
Triangle,0.7391
Palette,0.7391
Owl,0.7037
Cedar,0.7037
grape,0.6970
apple,0.6970
Slit drum,0.6957
Castanets,0.6957
Harpy,0.6800
Rose,0.6667
Pine,0.6667
broccoli,0.6667
Tulip,0.6667
Chainsaw,0.6522
Electric pruner,0.6522
Cherubim,0.6400
cauliflower,0.6364
Apple tree,0.6296
Orange tree,0.6296
Edelweiss,0.6296
Dandelion,0.6296
Mermaid,0.6000
Troll,0.6000
Triton,0.6000
Notebook,0.5926
Golem,0.5600
Desktop computer,0.5556
carrot,0.5455
sweet potato,0.5455
Trumpet,0.5217
Indeterminate pitch instrument ,0.5217
Rounded point shovel,0.5217
Carving tool,0.5217
Chisel,0.5217
Bongo,0.5217
Fife,0.5217
Timpani,0.5217
Drain shovel,0.5217
elf,0.5200
Pegasus,0.5200
tuna filet,0.4848
Dragon,0.4800
Thunderbird,0.4800
Cerberus,0.4800
Hellhound,0.4800
Roto drum,0.4783
Round brush,0.4783
Mallet,0.4783
Flat brush,0.4783
Brush,0.4783
Potting trowel,0.4783
Rockery trowel,0.4783
Valved instrument,0.4783
steak,0.4545
filet,0.4545
Canine,0.4400
Hydra,0.4400
Unicorn,0.4400
Wyvern,0.4400
Phoenix,0.4400
Flaute,0.4348
Shovel,0.4348
Trowel,0.4348
Tambourine,0.4348
Piccolo,0.4348
pork sausage,0.4242
Computer,0.4074
Bird.1,0.4000
Equine,0.4000
vegetable,0.3939
salmon filet,0.3939
turkey breast,0.3939
Determinate pitch instrument ,0.3913
Tree,0.3704
Flower,0.3704
Dell desktop,0.3704
chicken breast,0.3636
ham slice,0.3636
Forest elf,0.3600
Drow,0.3600
Desktop mac,0.3333
3D printer,0.3333
Bird,0.3333
brassica,0.3333
Dell notebook,0.3333
fruit,0.3333
Hulking humanoid,0.3200
Cornet,0.3043
tuber,0.3030
Wired mouse,0.2963
Wired keyboard,0.2963
Multifunction printer,0.2963
Scaled humanoid,0.2800
Beast,0.2800
Winged humanoid,0.2800
fish filet,0.2727
Electric tool,0.2609
Modeling tool,0.2609
Unpiched instrument ,0.2609
Woodwind instrument,0.2609
Single-reed instrument,0.2609
Mammal,0.2593
Plant,0.2593
LCD monitor,0.2593
Animal,0.2593
Macbook,0.2593
Wireless mouse,0.2593
Wireless keyboard,0.2593
XPS desktop,0.2593
CRT monitor,0.2593
poultry filet,0.2424
red processed meat product,0.2424
Humanoid,0.2400
Siamese,0.2222
Alienware desktop,0.2222
Input device,0.2222
Output device,0.2222
Manual tool,0.2174
Glass palette,0.2174
Wood palette,0.2174
Gardening tool,0.2174
Art tool,0.2174
Idiophone,0.2174
Pitched instrument ,0.2174
ribeye steak,0.2121
tbone steak,0.2121
red meat portion,0.2121
Flying beast,0.2000
Mythical creature,0.2000
Hybrid humanoid,0.2000
German Shepherd,0.1852
Alienware notebook,0.1852
iMac,0.1852
Flying bird,0.1852
Persian,0.1852
Bulldog,0.1852
Non-flying bird,0.1852
XPS notebook,0.1852
Mac pro,0.1852
Macbook Air,0.1852
Macbook Pro,0.1852
food portion,0.1818
Tool,0.1739
Painting tool,0.1739
Digging tool,0.1739
Sculpture tool,0.1739
Brass instrument,0.1739
Wind instrument,0.1739
Cutting tool,0.1739
Percussion instrument ,0.1739
Membranophone,0.1739
Terrestial humanoid,0.1600
Terrestial beast,0.1600
vegetarian food portion,0.1515
Non-flowering tree,0.1481
Living being ,0.1481
Peripheral device,0.1481
Cultivated flower,0.1481
Wildflower,0.1481
Tenor trombone,0.1304
Bass trombone,0.1304
red globe grape,0.1212
moon drop grape,0.1212
meat portion,0.1212
Flowering tree,0.1111
Technological device,0.1111
mcintosh apple,0.0909
granny smith apple,0.0909
Musical instrument,0.0870
