Concept,AgreementRate
Palette,1.0000
Brush,1.0000
Shovel,1.0000
Trowel,1.0000
Notebook,1.0000
Dog,0.8750
Desktop computer,0.8750
Cat,0.8750
Keyboard,0.8750
Mouse,0.8750
Printer,0.8750
Monitor,0.8750
Trombone,0.7500
Flaute,0.7500
Bongo,0.7500
Tambourine,0.7500
Clarinet,0.7500
Saxophone,0.7500
Ostrich,0.7500
Penguin,0.7500
Eagle,0.7500
Owl,0.7500
Triangle,0.7500
Trumpet,0.7500
Timpani,0.7500
Slit drum,0.7500
Castanets,0.7500
Bell,0.7500
Roto drum,0.7500
broccoli,0.7273
grape,0.7273
apple,0.7273
carrot,0.6364
sweet potato,0.6364
cauliflower,0.6364
Rose,0.6250
Harpy,0.6250
Dragon,0.6250
Triton,0.6250
Cherubim,0.6250
Tulip,0.6250
Chisel,0.6250
elf,0.6250
Mermaid,0.6250
Tree,0.6250
Flower,0.6250
Cedar,0.6250
Pine,0.6250
Chainsaw,0.6250
Cornet,0.6250
Troll,0.6250
Mallet,0.6250
Wire,0.6250
Electric pruner,0.6250
Rake,0.6250
tuna filet,0.5455
turkey breast,0.5455
salmon filet,0.5455
Apple tree,0.5000
Phoenix,0.5000
Bird,0.5000
Canine,0.5000
Thunderbird,0.5000
Golem,0.5000
Bird.1,0.5000
Equine,0.5000
Orange tree,0.5000
Wyvern,0.5000
Hydra,0.5000
Electric tool,0.5000
Dandelion,0.5000
Edelweiss,0.5000
filet,0.4545
chicken breast,0.4545
vegetable,0.4545
fruit,0.4545
ham slice,0.4545
pork sausage,0.4545
Carving tool,0.3750
Forest elf,0.3750
Unicorn,0.3750
3D printer,0.3750
Beast,0.3750
Cerberus,0.3750
Computer,0.3750
Hulking humanoid,0.3750
Drow,0.3750
Modeling tool,0.3750
Manual tool,0.3750
Pegasus,0.3750
Hellhound,0.3750
steak,0.3636
red meat portion,0.2727
tuber,0.2727
brassica,0.2727
ribeye steak,0.2727
tbone steak,0.2727
Wind instrument,0.2500
Woodwind instrument,0.2500
Brass instrument,0.2500
Idiophone,0.2500
Percussion instrument ,0.2500
Scaled humanoid,0.2500
Membranophone,0.2500
Dell desktop,0.2500
Wireless keyboard,0.2500
Macbook,0.2500
Desktop mac,0.2500
Wired mouse,0.2500
Cultivated flower,0.2500
Mammal,0.2500
Wildflower,0.2500
LCD monitor,0.2500
Multifunction printer,0.2500
Wireless mouse,0.2500
CRT monitor,0.2500
Input device,0.2500
Dell notebook,0.2500
Output device,0.2500
Winged humanoid,0.2500
Humanoid,0.2500
Wired keyboard,0.2500
red globe grape,0.1818
red processed meat product,0.1818
moon drop grape,0.1818
fish filet,0.1818
poultry filet,0.1818
Siamese,0.1250
Plant,0.1250
Animal,0.1250
German Shepherd,0.1250
Persian,0.1250
Flowering tree,0.1250
Non-flowering tree,0.1250
Bulldog,0.1250
Non-flying bird,0.1250
Rockery trowel,0.1250
Terrestial humanoid,0.1250
Terrestial beast,0.1250
Hybrid humanoid,0.1250
Mythical creature,0.1250
iMac,0.1250
Flying bird,0.1250
Alienware notebook,0.1250
Alienware desktop,0.1250
Macbook Pro,0.1250
Macbook Air,0.1250
XPS notebook,0.1250
Mac pro,0.1250
Peripheral device,0.1250
XPS desktop,0.1250
Flying beast,0.1250
Potting trowel,0.1250
Drain shovel,0.1250
Sculpture tool,0.1250
Cutting tool,0.1250
Painting tool,0.1250
Gardening tool,0.1250
Pitched instrument ,0.1250
Fife,0.1250
Single-reed instrument,0.1250
Valved instrument,0.1250
Indeterminate pitch instrument ,0.1250
Tenor trombone,0.1250
Unpiched instrument ,0.1250
Piccolo,0.1250
Bass trombone,0.1250
Determinate pitch instrument ,0.1250
Rounded point shovel,0.1250
Digging tool,0.1250
Art tool,0.1250
mcintosh apple,0.0909
vegetarian food portion,0.0909
granny smith apple,0.0909
meat portion,0.0909
food portion,0.0000
Living being ,0.0000
Technological device,0.0000
Musical instrument,0.0000
Tool,0.0000
Glass palette,0.0000
Wood palette,0.0000
Flat brush,0.0000
Round brush,0.0000
