Concept,AgreementRate
apple,0.6970
grape,0.6970
broccoli,0.6667
cauliflower,0.6364
sweet potato,0.5455
carrot,0.5455
tuna filet,0.4848
steak,0.4545
filet,0.4545
pork sausage,0.4242
turkey breast,0.3939
vegetable,0.3939
salmon filet,0.3939
chicken breast,0.3636
ham slice,0.3636
fruit,0.3333
brassica,0.3333
tuber,0.3030
fish filet,0.2727
poultry filet,0.2424
red processed meat product,0.2424
ribeye steak,0.2121
red meat portion,0.2121
tbone steak,0.2121
food portion,0.1818
vegetarian food portion,0.1515
red globe grape,0.1212
moon drop grape,0.1212
meat portion,0.1212
granny smith apple,0.0909
mcintosh apple,0.0909
