Concept,AgreementRate
broccoli,1.0000
tuna filet,1.0000
cauliflower,1.0000
Eagle,1.0000
Ostrich,1.0000
Rounded point shovel,1.0000
Harpy,1.0000
Cherubim,1.0000
Tambourine,1.0000
Bongo,1.0000
Saxophone,1.0000
Drain shovel,1.0000
Wire,1.0000
Owl,0.5000
Pine,0.5000
Cedar,0.5000
chicken breast,0.5000
fish filet,0.5000
filet,0.5000
carrot,0.5000
salmon filet,0.5000
apple,0.5000
brassica,0.5000
food portion,0.5000
Siamese,0.5000
Penguin,0.5000
Macbook Pro,0.5000
Macbook Air,0.5000
Alienware desktop,0.5000
iMac,0.5000
Multifunction printer,0.5000
CRT monitor,0.5000
Dell desktop,0.5000
Alienware notebook,0.5000
Wireless mouse,0.5000
3D printer,0.5000
Wired mouse,0.5000
Wired keyboard,0.5000
Wireless keyboard,0.5000
XPS desktop,0.5000
Rose,0.5000
Tulip,0.5000
Edelweiss,0.5000
Dandelion,0.5000
Orange tree,0.5000
Apple tree,0.5000
Mac pro,0.5000
XPS notebook,0.5000
pork sausage,0.5000
ham slice,0.5000
Dog,0.5000
Cat,0.5000
steak,0.5000
turkey breast,0.5000
grape,0.5000
sweet potato,0.5000
LCD monitor,0.5000
Dell notebook,0.5000
Desktop mac,0.5000
Non-flying bird,0.0000
Cultivated flower,0.0000
Wildflower,0.0000
Non-flowering tree,0.0000
Flowering tree,0.0000
Flying bird,0.0000
tbone steak,0.0000
Animal,0.0000
Plant,0.0000
Bird,0.0000
Mammal,0.0000
Bulldog,0.0000
German Shepherd,0.0000
ribeye steak,0.0000
red processed meat product,0.0000
Living being ,0.0000
moon drop grape,0.0000
red globe grape,0.0000
vegetarian food portion,0.0000
fruit,0.0000
vegetable,0.0000
granny smith apple,0.0000
mcintosh apple,0.0000
tuber,0.0000
poultry filet,0.0000
red meat portion,0.0000
meat portion,0.0000
Flower,0.0000
Tree,0.0000
Persian,0.0000
Mouse,0.0000
Printer,0.0000
Monitor,0.0000
Input device,0.0000
Desktop computer,0.0000
Macbook,0.0000
Mythical creature,0.0000
Flying beast,0.0000
Canine,0.0000
Keyboard,0.0000
Cerberus,0.0000
Hellhound,0.0000
Pegasus,0.0000
Beast,0.0000
Terrestial beast,0.0000
Bird.1,0.0000
Unicorn,0.0000
Dragon,0.0000
Phoenix,0.0000
Wyvern,0.0000
Humanoid,0.0000
Thunderbird,0.0000
Hydra,0.0000
Scaled humanoid,0.0000
Hybrid humanoid,0.0000
Equine,0.0000
Output device,0.0000
Notebook,0.0000
Peripheral device,0.0000
Technological device,0.0000
Computer,0.0000
elf,0.0000
Hulking humanoid,0.0000
Terrestial humanoid,0.0000
Mermaid,0.0000
Winged humanoid,0.0000
Triton,0.0000
Musical instrument,0.0000
Troll,0.0000
Woodwind instrument,0.0000
Membranophone,0.0000
Idiophone,0.0000
Valved instrument,0.0000
Trombone,0.0000
Golem,0.0000
Drow,0.0000
Forest elf,0.0000
Indeterminate pitch instrument ,0.0000
Single-reed instrument,0.0000
Flaute,0.0000
Determinate pitch instrument ,0.0000
Cornet,0.0000
Pitched instrument ,0.0000
Unpiched instrument ,0.0000
Trumpet,0.0000
Piccolo,0.0000
Bass trombone,0.0000
Tenor trombone,0.0000
Clarinet,0.0000
Fife,0.0000
Wind instrument,0.0000
Percussion instrument ,0.0000
Brass instrument,0.0000
Triangle,0.0000
Timpani,0.0000
Roto drum,0.0000
Bell,0.0000
Art tool,0.0000
Castanets,0.0000
Slit drum,0.0000
Tool,0.0000
Digging tool,0.0000
Cutting tool,0.0000
Brush,0.0000
Palette,0.0000
Carving tool,0.0000
Gardening tool,0.0000
Painting tool,0.0000
Sculpture tool,0.0000
Trowel,0.0000
Shovel,0.0000
Modeling tool,0.0000
Electric tool,0.0000
Glass palette,0.0000
Manual tool,0.0000
Flat brush,0.0000
Round brush,0.0000
Mallet,0.0000
Chisel,0.0000
Wood palette,0.0000
Rake,0.0000
Potting trowel,0.0000
Rockery trowel,0.0000
Electric pruner,0.0000
Chainsaw,0.0000
