Concept,AgreementRate
Dog,0.8148
Cat,0.8148
Ostrich,0.7407
Penguin,0.7407
Eagle,0.7407
Owl,0.7037
Cedar,0.7037
Rose,0.6667
Pine,0.6667
Tulip,0.6667
Orange tree,0.6296
Edelweiss,0.6296
Dandelion,0.6296
Apple tree,0.6296
Flower,0.3704
Tree,0.3704
Bird,0.3333
Plant,0.2593
Animal,0.2593
Mammal,0.2593
Siamese,0.2222
Flying bird,0.1852
Non-flying bird,0.1852
Persian,0.1852
German Shepherd,0.1852
Bulldog,0.1852
Living being ,0.1481
Cultivated flower,0.1481
Wildflower,0.1481
Non-flowering tree,0.1481
Flowering tree,0.1111
