Concept,AgreementRate
Harpy,0.6800
Cherubim,0.6400
Mermaid,0.6000
Triton,0.6000
Troll,0.6000
Golem,0.5600
Pegasus,0.5200
elf,0.5200
Dragon,0.4800
Hellhound,0.4800
Cerberus,0.4800
Thunderbird,0.4800
Hydra,0.4400
Canine,0.4400
Phoenix,0.4400
Unicorn,0.4400
Wyvern,0.4400
Bird.1,0.4000
Equine,0.4000
Drow,0.3600
Forest elf,0.3600
Hulking humanoid,0.3200
Beast,0.2800
Winged humanoid,0.2800
Scaled humanoid,0.2800
Humanoid,0.2400
Mythical creature,0.2000
Hybrid humanoid,0.2000
Flying beast,0.2000
Terrestial beast,0.1600
Terrestial humanoid,0.1600
