Concept,AgreementRate
Pine,1.0000
Cedar,1.0000
Penguin,1.0000
Ostrich,1.0000
Owl,1.0000
Eagle,1.0000
Dog,1.0000
Cat,1.0000
Bulldog,1.0000
German Shepherd,1.0000
Siamese,1.0000
Persian,1.0000
Chisel,1.0000
Flat brush,1.0000
Wire,1.0000
Rake,1.0000
Chainsaw,1.0000
Rockery trowel,1.0000
Electric pruner,1.0000
Drain shovel,1.0000
Carving tool,1.0000
Rounded point shovel,1.0000
Determinate pitch instrument ,1.0000
Bell,1.0000
Troll,1.0000
Golem,1.0000
Drow,1.0000
Forest elf,1.0000
Trombone,1.0000
Flaute,1.0000
Pitched instrument ,1.0000
Triangle,1.0000
Winged humanoid,1.0000
Harpy,1.0000
Mermaid,1.0000
CRT monitor,1.0000
LCD monitor,1.0000
Triton,1.0000
Scaled humanoid,1.0000
Hybrid humanoid,1.0000
Wireless mouse,1.0000
3D printer,1.0000
Multifunction printer,1.0000
Printer,1.0000
Wired mouse,1.0000
Wireless keyboard,1.0000
Wired keyboard,1.0000
Monitor,1.0000
Keyboard,1.0000
Mouse,1.0000
Edelweiss,1.0000
Dandelion,1.0000
Rose,1.0000
Tulip,1.0000
Orange tree,1.0000
Apple tree,1.0000
Bongo,1.0000
Saxophone,1.0000
Unpiched instrument ,1.0000
Trumpet,1.0000
Clarinet,1.0000
Fife,1.0000
Round brush,1.0000
Potting trowel,1.0000
Glass palette,1.0000
Wood palette,1.0000
apple,0.8000
grape,0.8000
tuber,0.8000
broccoli,0.8000
cauliflower,0.8000
Digging tool,0.7500
Tool,0.7500
Painting tool,0.7500
Modeling tool,0.7500
Palette,0.7500
Cutting tool,0.7500
Brush,0.7500
Mac pro,0.7500
Dell desktop,0.7500
Humanoid,0.7500
Wyvern,0.7500
Pegasus,0.7500
elf,0.7500
Woodwind instrument,0.7500
Idiophone,0.7500
Desktop mac,0.7500
Dell notebook,0.7500
XPS desktop,0.7500
Mammal,0.7500
Bird,0.7500
Flower,0.7500
Plant,0.7500
Animal,0.7500
Tree,0.7500
Sculpture tool,0.7500
Castanets,0.7500
Mallet,0.7500
Gardening tool,0.7500
Art tool,0.7500
Single-reed instrument,0.7500
Valved instrument,0.7500
Indeterminate pitch instrument ,0.7500
Slit drum,0.7500
Alienware notebook,0.7500
Hellhound,0.7500
Cherubim,0.7500
Thunderbird,0.7500
Dragon,0.7500
iMac,0.7500
Hulking humanoid,0.7500
Terrestial humanoid,0.7500
Alienware desktop,0.7500
Macbook Pro,0.7500
Macbook Air,0.7500
XPS notebook,0.7500
Macbook,0.7500
brassica,0.6000
vegetable,0.6000
fruit,0.6000
tuna filet,0.6000
chicken breast,0.6000
salmon filet,0.6000
poultry filet,0.6000
carrot,0.6000
sweet potato,0.6000
fish filet,0.6000
filet,0.6000
pork sausage,0.6000
steak,0.6000
ribeye steak,0.6000
tbone steak,0.6000
red processed meat product,0.6000
turkey breast,0.6000
Notebook,0.5000
Living being ,0.5000
Trowel,0.5000
Shovel,0.5000
Manual tool,0.5000
Hydra,0.5000
Unicorn,0.5000
Bird.1,0.5000
Flying beast,0.5000
Phoenix,0.5000
Cerberus,0.5000
Equine,0.5000
Mythical creature,0.5000
Output device,0.5000
Computer,0.5000
Input device,0.5000
Desktop computer,0.5000
Peripheral device,0.5000
Electric tool,0.5000
Timpani,0.5000
Canine,0.5000
food portion,0.4000
moon drop grape,0.4000
granny smith apple,0.4000
ham slice,0.4000
mcintosh apple,0.4000
red globe grape,0.4000
Cultivated flower,0.2500
Technological device,0.2500
Flowering tree,0.2500
Wildflower,0.2500
Non-flowering tree,0.2500
Flying bird,0.2500
Non-flying bird,0.2500
Brass instrument,0.2500
Percussion instrument ,0.2500
Musical instrument,0.2500
Beast,0.2500
Terrestial beast,0.2500
Tambourine,0.2500
Bass trombone,0.2500
Roto drum,0.2500
Cornet,0.2500
Tenor trombone,0.2500
Wind instrument,0.2500
Piccolo,0.2500
Membranophone,0.2500
red meat portion,0.2000
meat portion,0.2000
vegetarian food portion,0.2000
