Concept,AgreementRate
Keyboard,0.9167
Triangle,0.9000
Mouse,0.8333
Monitor,0.8333
Bell,0.8000
Flat brush,0.8000
Wire,0.8000
Rake,0.8000
Round brush,0.8000
Trombone,0.8000
Valved instrument,0.8000
Indeterminate pitch instrument ,0.8000
Saxophone,0.8000
Fife,0.8000
Piccolo,0.8000
Clarinet,0.8000
Ostrich,0.7500
Penguin,0.7500
Eagle,0.7500
Owl,0.7500
Dog,0.7500
Cat,0.7500
Printer,0.7500
Slit drum,0.7000
Drain shovel,0.7000
Rounded point shovel,0.7000
Electric pruner,0.7000
Chainsaw,0.7000
Castanets,0.7000
Palette,0.7000
Rockery trowel,0.7000
Potting trowel,0.7000
grape,0.6923
apple,0.6923
Rose,0.6667
Tulip,0.6667
Edelweiss,0.6667
Dandelion,0.6667
Orange tree,0.6667
Apple tree,0.6667
Cedar,0.6667
Pine,0.6667
Harpy,0.6364
Cherubim,0.6364
Triton,0.6364
Mermaid,0.6364
Golem,0.6364
Troll,0.6364
sweet potato,0.6154
carrot,0.6154
cauliflower,0.6154
broccoli,0.6154
Carving tool,0.6000
Pegasus,0.5455
Unicorn,0.5455
Cerberus,0.5455
elf,0.5455
Hellhound,0.5455
steak,0.5385
pork sausage,0.4615
Hydra,0.4545
Phoenix,0.4545
Wyvern,0.4545
Thunderbird,0.4545
Notebook,0.4167
Desktop computer,0.4167
Determinate pitch instrument ,0.4000
filet,0.3846
ham slice,0.3846
Computer,0.3333
Roto drum,0.3000
Timpani,0.3000
Bird.1,0.2727
Dragon,0.2727
salmon filet,0.2308
chicken breast,0.2308
tuna filet,0.2308
turkey breast,0.2308
Chisel,0.2000
Mallet,0.2000
Canine,0.1818
Humanoid,0.1818
Drow,0.1818
Forest elf,0.1818
Equine,0.1818
Tree,0.1667
vegetable,0.1538
Musical instrument,0.1000
Wood palette,0.1000
Glass palette,0.1000
Digging tool,0.1000
Tool,0.1000
Tambourine,0.1000
Bongo,0.1000
Beast,0.0909
Hulking humanoid,0.0909
Winged humanoid,0.0909
Scaled humanoid,0.0909
3D printer,0.0833
Macbook,0.0833
Desktop mac,0.0833
Multifunction printer,0.0833
Input device,0.0833
Alienware desktop,0.0833
Dell notebook,0.0833
Dell desktop,0.0833
Flower,0.0833
Plant,0.0833
Animal,0.0833
poultry filet,0.0769
ribeye steak,0.0769
red meat portion,0.0769
fruit,0.0769
tbone steak,0.0769
brassica,0.0769
tuber,0.0769
red processed meat product,0.0769
fish filet,0.0769
vegetarian food portion,0.0000
food portion,0.0000
Siamese,0.0000
Persian,0.0000
Non-flowering tree,0.0000
Flowering tree,0.0000
Cultivated flower,0.0000
Wildflower,0.0000
Bulldog,0.0000
German Shepherd,0.0000
Non-flying bird,0.0000
Flying bird,0.0000
Bird,0.0000
Mammal,0.0000
Living being ,0.0000
moon drop grape,0.0000
red globe grape,0.0000
meat portion,0.0000
granny smith apple,0.0000
mcintosh apple,0.0000
Output device,0.0000
Technological device,0.0000
Macbook Air,0.0000
Peripheral device,0.0000
Macbook Pro,0.0000
Flying beast,0.0000
Alienware notebook,0.0000
XPS notebook,0.0000
Mac pro,0.0000
iMac,0.0000
XPS desktop,0.0000
Wireless keyboard,0.0000
Wired keyboard,0.0000
Wired mouse,0.0000
Terrestial humanoid,0.0000
Hybrid humanoid,0.0000
Terrestial beast,0.0000
CRT monitor,0.0000
Wireless mouse,0.0000
Mythical creature,0.0000
LCD monitor,0.0000
Bass trombone,0.0000
Brass instrument,0.0000
Percussion instrument ,0.0000
Wind instrument,0.0000
Woodwind instrument,0.0000
Idiophone,0.0000
Membranophone,0.0000
Flaute,0.0000
Single-reed instrument,0.0000
Trumpet,0.0000
Cornet,0.0000
Unpiched instrument ,0.0000
Pitched instrument ,0.0000
Tenor trombone,0.0000
Trowel,0.0000
Painting tool,0.0000
Sculpture tool,0.0000
Art tool,0.0000
Shovel,0.0000
Modeling tool,0.0000
Brush,0.0000
Cutting tool,0.0000
Gardening tool,0.0000
Manual tool,0.0000
Electric tool,0.0000
