Concept,AgreementRate
Wire,0.8261
Rake,0.7391
Palette,0.7391
Electric pruner,0.6522
Chainsaw,0.6522
Carving tool,0.5217
Rounded point shovel,0.5217
Drain shovel,0.5217
Chisel,0.5217
Round brush,0.4783
Brush,0.4783
Mallet,0.4783
Flat brush,0.4783
Rockery trowel,0.4783
Potting trowel,0.4783
Trowel,0.4348
Shovel,0.4348
Electric tool,0.2609
Modeling tool,0.2609
Art tool,0.2174
Gardening tool,0.2174
Manual tool,0.2174
Glass palette,0.2174
Wood palette,0.2174
Cutting tool,0.1739
Tool,0.1739
Digging tool,0.1739
Painting tool,0.1739
Sculpture tool,0.1739
